a few,a little,A.M.,able,above,abroad,across,act,action
actor,actress,afraid,afternoon,again,age,ago,agree,ahead
air,airplane,airport,almost,along,already,although,America,American
angry,animal,another,ant,anybody,anyone,anything,apartment,appear
apple,April,aren't,arm,around,arrive,art,attack,August
aunt,autumn,away,baby,bad,badminton,bag,bake,bakery
balcony,ball,banana,band,bank,barbecue,base,baseball,basket
basketball,bat,bath,bathroom,beach,bean,bear,bed,bedroom
bee,beef,begin,behind,believe,bell,belong,below,belt
bench,beside,between,bicycle,big,bike,bird,birthday,bite
black,blackboard,blanket,blind,block,blow,blue,boat,body
boil,book,bookstore,bore,boring,born,borrow,boss,both
bottle,bottom,bow,bowl,box,boy,bread,break,breakfast
bridge,bright,bring,brother,brown,brush,bug,build,bun
burn,bus,business,businessman,busy,butter,butterfly,bye,cage
cake,call,camera,camp,candle,candy,cannot,can't,cap
car,card,care,careful,carry,case,castle,cat,catch
celebrate,cell phone,cellphone,cent,center,centimeter,chair,chalk,chance
change,cheap,cheat,check,cheer,cheese,chess,chicken,child
China,Chinese,chocolate,choose,chopsticks,Christmas,church,circle,city
clap,class,classmate,classroom,clean,clear,clerk,climb,clock
close,cloudy,club,coat,coffee,cola,cold,collect,color
comb,comfortable,comic,common,computer,convenient,cook,cookie,cool
copy,corner,correct,cost,couch,couldn't,count,country,course
cousin,cover,cow,crazy,cross,cry,cup,cut,cute
dad,daddy,dance,dangerous,dark,date,daughter,dead,deal
dear,December,decide,delicious,dentist,department store,desk,dictionary,didn't
die,different,difficult,dig,dining room,dinner,dirty,dish,doctor
dodge ball,doesn't,dog,doll,dollar,door,dot,down,dozen
Dr.,dragon,draw,drawer,dream,dress,drink,drive,driver
drop,drum,dry,duck,dumpling,during,each,ear,early
earth,east,Easter,easy,eat,egg,eight,eighteen,eighty
either,elementary school,elephant,eleven,else,e-mail,end,engineer,English
enough,enter,envelope,eraser,eve,ever,everybody,everyone,everything
example,excellent,except,excited,exciting,excuse,exercise,expensive,experience
eye,face,fact,factory,fail,fall,famous,fan,far
farm,farmer,fast,fat,father,favorite,February,feed,festival
fever,few,fifteen,fifty,fight,fill,fine,finger,finish
fire,fish,fisherman,five,fix,floor,flower,flute,fly
follow,foot,foreign,foreigner,forget,fork,forty,four,fourteen
fox,free,French fries,fresh,Friday,friendly,frisbee,frog,front
fruit,fry,full,fun,funny,future,game,garbage,garden
gas,gate,ghost,giant,gift,girl,glad,glass,glasses
glove,glue,goat,goodbye,good-bye,goose,grade,gram,grandfather
